pT,general classifier proportion,label,classifier,blur
43.77993392944336,0.76065016,0.0,Latent Space Pooled Hybrid Classifier,0.1
32.94068908691406,0.71973747,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.85045623779297,0.75759053,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.542545318603516,0.7521456,1.0,Latent Space Pooled Hybrid Classifier,0.1
29.83230972290039,0.71625555,0.0,Latent Space Pooled Hybrid Classifier,0.1
36.665740966796875,0.728271,0.0,Latent Space Pooled Hybrid Classifier,0.1
37.69380187988281,0.73934215,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.29833221435547,0.74226284,0.0,Latent Space Pooled Hybrid Classifier,0.1
46.398643493652344,0.7742343,0.0,Latent Space Pooled Hybrid Classifier,0.1
50.33376693725586,0.8016176,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.159996032714844,0.70685446,0.0,Latent Space Pooled Hybrid Classifier,0.1
25.68973731994629,0.690943,0.0,Latent Space Pooled Hybrid Classifier,0.1
56.020469665527344,0.8029822,0.0,Latent Space Pooled Hybrid Classifier,0.1
39.550411224365234,0.74900097,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.08987045288086,0.70598686,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.975582122802734,0.7023079,1.0,Latent Space Pooled Hybrid Classifier,0.1
35.80068588256836,0.7151521,0.0,Latent Space Pooled Hybrid Classifier,0.1
39.69430160522461,0.74940574,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.45552444458008,0.76578134,1.0,Latent Space Pooled Hybrid Classifier,0.1
34.94850540161133,0.7045011,0.0,Latent Space Pooled Hybrid Classifier,0.1
56.325836181640625,0.8030018,0.0,Latent Space Pooled Hybrid Classifier,0.1
23.706762313842773,0.6846186,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.109439849853516,0.744795,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.58176803588867,0.749146,1.0,Latent Space Pooled Hybrid Classifier,0.1
48.635921478271484,0.7943778,0.0,Latent Space Pooled Hybrid Classifier,0.1
40.98501205444336,0.75677955,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.155845642089844,0.7639575,1.0,Latent Space Pooled Hybrid Classifier,0.1
42.006309509277344,0.7577774,0.0,Latent Space Pooled Hybrid Classifier,0.1
23.195249557495117,0.68119615,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.54417419433594,0.76117265,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.414520263671875,0.76143295,0.0,Latent Space Pooled Hybrid Classifier,0.1
33.30739974975586,0.71660095,0.0,Latent Space Pooled Hybrid Classifier,0.1
49.6895751953125,0.8003578,1.0,Latent Space Pooled Hybrid Classifier,0.1
13.49672794342041,0.63250595,0.0,Latent Space Pooled Hybrid Classifier,0.1
37.28647994995117,0.7337827,1.0,Latent Space Pooled Hybrid Classifier,0.1
45.69150161743164,0.771737,0.0,Latent Space Pooled Hybrid Classifier,0.1
47.47496795654297,0.78404546,0.0,Latent Space Pooled Hybrid Classifier,0.1
